,Name,Platform,Genre,Publisher
2669,Dragon Ball: Raging Blast,PS3,Fighting,Namco Bandai Games
2670,Twisted Metal: Head On,PSP,Action,Sony Computer Entertainment
2671,Personal Trainer: Walking,DS,Sports,Nintendo
2672,Sonic Unleashed,PS2,Platform,Sega
2673,Cabela's Deer Hunt: 2004 Season,PS2,Sports,Activision Value
2674,Formula 1,PS,Racing,Psygnosis
2675,Tetris Party Deluxe,DS,Puzzle,Nintendo
2676,Banjo-Kazooie: Nuts & Bolts,X360,Platform,Microsoft Game Studios
2677,FIFA 12,Wii,Sports,Electronic Arts
2678,My Baby Girl,DS,Simulation,Nobilis
2679,Driv3r,XB,Racing,Atari
2680,Mercenaries: Playground of Destruction,PS2,Action,LucasArts
2681,The Walking Dead: Season One,PS3,Adventure,Avanquest Software
2682,MTV Celebrity Deathmatch,PS2,Fighting,Gotham Games
2683,Street Fighter Alpha: Warriors' Dreams,PS,Fighting,Virgin Interactive
2684,ISS Pro Evolution,PS,Sports,Konami Digital Entertainment
2685,Need For Speed: Undercover,PSP,Racing,Electronic Arts
2686,Metroid Prime Hunters,DS,Shooter,Nintendo
2687,Bayonetta 2,WiiU,Action,Nintendo
2688,Star Wars Battlefront: Elite Squadron,PSP,Shooter,LucasArts
2689,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,Racing,Sega
2690,Tony Hawk's Pro Skater 2,N64,Sports,Activision
2691,Final Fantasy II,NES,Role-Playing,SquareSoft
2692,Taiko no Tatsujin: Tatakon de Dodon ga Don,PS2,Misc,Namco Bandai Games
2693,Mega Man Battle Network 6: Cybeast Falzar / Gregar,GBA,Role-Playing,Capcom
2694,Doom (2016),XOne,Shooter,Bethesda Softworks
2695,Syphon Filter: The Omega Strain,PS2,Shooter,Sony Computer Entertainment
2696,FIFA Soccer 11,PS2,Sports,Electronic Arts
2697,The Sims 3,3DS,Simulation,Electronic Arts
2698,Mortal Kombat: Deception,XB,Fighting,Midway Games
2699,That's So Raven,GBA,Adventure,Disney Interactive Studios
2700,DJ Hero,Wii,Misc,Activision
2701,Toy Story 3: The Video Game,X360,Action,Disney Interactive Studios
2702,Marvel vs. Capcom 2: New Age of Heroes,PS2,Fighting,Capcom
2703,Portal 2,PC,Shooter,Valve Software
2704,Duke Nukem Forever,PS3,Shooter,Take-Two Interactive
2705,Star Wars: The Force Unleashed II,Wii,Action,LucasArts
2706,Legends of Wrestling,PS2,Fighting,Acclaim Entertainment
2707,True Crime: New York City,PS2,Action,Activision
2708,Lost Planet 2,X360,Shooter,Capcom
2709,Kane & Lynch: Dead Men,X360,Shooter,Eidos Interactive
2710,Mario & Luigi: Paper Jam,3DS,Role-Playing,Nintendo
2711,Final Fantasy Legend III,GB,Role-Playing,SquareSoft
2712,Harry Potter and the Half-Blood Prince,Wii,Action,Electronic Arts
2713,Wall-E,PS2,Platform,THQ
2714,Professor Layton and the Azran Legacy,3DS,Puzzle,Nintendo
2715,Super Monkey Ball: Touch & Roll,DS,Misc,Sega
2716,Mega Man X5,PS,Platform,Capcom
2717,Nintendo Presents: New Style Boutique 2 - Fashion Forward,3DS,Misc,Nintendo
2718,Titanfall 2,PS4,Shooter,Electronic Arts
2719,Genji: Days of the Blade,PS3,Action,Sony Computer Entertainment
2720,Metal Gear Solid V: The Phantom Pain,XOne,Action,Konami Digital Entertainment
2721,Rockstar Games presents Table Tennis,X360,Sports,Take-Two Interactive
2722,Drawn to Life: The Next Chapter,Wii,Puzzle,THQ
2723,PokePark 2: Wonders Beyond,Wii,Action,Nintendo
2724,DJ Hero 2,PS3,Misc,Activision
2725,WWE SmackDown vs. Raw 2009,PSP,Fighting,THQ
2726,LEGO Batman 2: DC Super Heroes,3DS,Action,Warner Bros. Interactive Entertainment
2727,SoulCalibur V,PS3,Fighting,Namco Bandai Games
2728,Shark Tale,PS2,Action,Activision
2729,San Francisco Rush: Extreme Racing,N64,Racing,GT Interactive
2730,Zone of the Enders,PS2,Shooter,Konami Digital Entertainment
2731,Street Fighter EX Plus Alpha,PS,Fighting,Virgin Interactive
2732,Kane & Lynch: Dead Men,PS3,Shooter,Eidos Interactive
2733,Deer Drive,Wii,Sports,Big Ben Interactive
2734,Pro Evolution Soccer 2015,PS4,Sports,Konami Digital Entertainment
2735,Tony Hawk's Underground 2,XB,Sports,Activision
2736,Madden NFL 06,PSP,Sports,Electronic Arts
2737,We Sing,Wii,Misc,Nordic Games
2738,Raving Rabbids: Travel in Time,Wii,Adventure,Ubisoft
2739,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,Fighting,Capcom
2740,MVP 06 NCAA Baseball,PS2,Sports,Electronic Arts
2741,Turok,X360,Action,Touchstone
2742,Final Fantasy XIV: A Realm Reborn,PS4,Role-Playing,Square Enix
2743,Coded Arms,PSP,Shooter,Konami Digital Entertainment
2744,Final Fantasy Tactics A2: Grimoire of the Rift,DS,Role-Playing,Square Enix
2745,Jump Ultimate Stars,DS,Fighting,Nintendo
2746,Jampack Summer 2001,PS2,Misc,Sony Computer Entertainment
2747,The Lord of the Rings: Conquest,PS3,Action,Electronic Arts
2748,Band Hero,PS3,Misc,Activision
2749,Burnout,PS2,Racing,Acclaim Entertainment
2750,Spectrobes,DS,Role-Playing,Disney Interactive Studios
2751,Rhythm Heaven: The Best+,3DS,Misc,Nintendo
2752,Yu-Gi-Oh! Dungeon Dice Monsters,GBA,Misc,Konami Digital Entertainment
2753,The Godfather II,PS3,Action,Electronic Arts
2754,Mortal Kombat: Unchained,PSP,Fighting,Midway Games
2755,Need for Speed: Shift,PSP,Racing,Electronic Arts
2756,Dark Souls II,X360,Role-Playing,Namco Bandai Games
2757,Sega Superstars Tennis,DS,Sports,Sega
2758,Assassin's Creed: Revelations,PC,Action,Ubisoft
2759,Final Fantasy X/X-2 HD Remaster,PS4,Role-Playing,Square Enix
2760,[Prototype 2],PS3,Action,Activision
2761,Midnight Club 3: DUB Edition,XB,Racing,Take-Two Interactive
2762,Resident Evil: Revelations,PS3,Action,Capcom
2763,Tom Clancy's Rainbow Six: Vegas,PSP,Shooter,Ubisoft
2764,The Lord of the Rings: The Two Towers,GBA,Action,Electronic Arts
2765,Tiger Woods PGA Tour 2001,PS2,Sports,Electronic Arts
2766,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,Action,Square Enix
2767,Red Faction: Guerrilla,PS3,Shooter,THQ
2768,The Elder Scrolls V: Skyrim,XOne,Role-Playing,Bethesda Softworks
2769,Jet Moto 3,PS,Racing,Sony Computer Entertainment
2770,Ace Combat: Assault Horizon,PS3,Action,Namco Bandai Games
2771,X-Men Origins: Wolverine - Uncaged Edition,PS3,Action,Activision
2772,Unreal Championship,XB,Shooter,Atari
2773,WarioWare: Twisted!,GBA,Puzzle,Unknown
2774,Lego Batman 3: Beyond Gotham,PS3,Action,Warner Bros. Interactive Entertainment
2775,Crysis 2,PC,Action,Electronic Arts
2776,Tales of Vesperia,X360,Role-Playing,Atari
2777,MLB 13: The Show,PS3,Sports,Sony Computer Entertainment
2778,LEGO Marvel Super Heroes,WiiU,Action,Warner Bros. Interactive Entertainment
2779,Namco Museum Remix,Wii,Misc,Atari
2780,NBA 2K16,PS3,Sports,Take-Two Interactive
2781,Sword of Mana,GBA,Role-Playing,Nintendo
2782,FIFA 17,PS3,Sports,Electronic Arts
2783,Marvel: Ultimate Alliance 2,PS3,Role-Playing,Activision
2784,Dragon Age: Inquisition,PC,Role-Playing,Electronic Arts
2785,Resonance of Fate,PS3,Role-Playing,Sega
2786,Madagascar: Escape 2 Africa,DS,Action,Activision
2787,Pirates of the Caribbean: At World's End,PS3,Action,Disney Interactive Studios
2788,FIFA: Road to World Cup 98,PS,Sports,Electronic Arts
2789,The Amazing Spider-Man (Console Version),X360,Action,Activision
2790,Dragon Ball Z: Ultime Menace,SNES,Fighting,Namco Bandai Games
2791,The Walking Dead: Season One,X360,Adventure,Avanquest Software
2792,Tiger Woods PGA Tour 08,PS3,Sports,Electronic Arts
2793,Classic NES Series: Donkey Kong,GBA,Platform,Nintendo
2794,Harvest Moon: Animal Parade,Wii,Simulation,Rising Star Games
2795,Split/Second,PS3,Racing,Disney Interactive Studios
2796,Yoshi,GB,Puzzle,Nintendo
2797,Mortal Kombat 4,N64,Fighting,GT Interactive
2798,WWE SmackDown vs. Raw 2010,Wii,Fighting,THQ
2799,Style Savvy: Trendsetters,3DS,Simulation,Nintendo
2800,Croc 2,PS,Platform,Fox Interactive
2801,Final Fantasy XIII-2,X360,Role-Playing,Square Enix
2802,Practise English!,DS,Misc,Nintendo
2803,Oddworld: Munch's Oddysee,XB,Platform,Atari
2804,Persona 4: Arena,PS3,Fighting,Atlus
2805,Berzerk,2600,Shooter,Atari
2806,Brink,PS3,Shooter,Bethesda Softworks
2807,NHL 11,X360,Sports,Electronic Arts
2808,NCAA Football 07,X360,Sports,Electronic Arts
2809,Just Dance Wii,Wii,Misc,Nintendo
2810,Full Spectrum Warrior,XB,Strategy,THQ
2811,LEGO Marvel's Avengers,PS4,Action,Warner Bros. Interactive Entertainment
2812,Katamari Damacy,PS2,Puzzle,Namco Bandai Games
2813,Just Dance 2015,WiiU,Misc,Ubisoft
2814,Beyblade VForce: Ultimate Blader Jam,GBA,Action,Atari
2815,LEGO Dimensions,PS4,Action,Warner Bros. Interactive Entertainment
2816,Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,Fighting,Namco Bandai Games
2817,Shaun Palmer's Pro Snowboarder,PS2,Sports,Codemasters
2818,James Bond 007: Agent Under Fire,GC,Shooter,Electronic Arts
2819,Harvest Moon DS: Island of Happiness,DS,Simulation,Rising Star Games
2820,Star Wars Episode III: Revenge of the Sith,GBA,Action,Ubisoft
2821,Ultimate Spider-Man,PS2,Action,Activision
2822,Monopoly Streets,Wii,Misc,Electronic Arts
2823,Imagine: Interior Designer,DS,Simulation,Ubisoft
2824,Ratchet & Clank Collection,PS3,Action,Sony Computer Entertainment
2825,SD Gundam G Generation,PS,Strategy,Namco Bandai Games
2826,Rabbids Go Home,DS,Platform,Ubisoft
2827,God Eater,PSP,Action,Unknown
2828,Area 51,PS,Shooter,GT Interactive
2829,Total War: Rome II,PC,Strategy,Sega
2830,NBA Live 08,PS2,Sports,Electronic Arts
2831,Star Ocean: The Last Hope International,PS3,Role-Playing,Square Enix
2832,Dead to Rights,XB,Shooter,Electronic Arts
2833,Indiana Jones and the Staff of Kings,Wii,Action,Activision
2834,Tiger Woods PGA Tour 07,PS2,Sports,Electronic Arts
2835,My Little Pony: Pinkie Pie's Party,DS,Adventure,THQ
2836,Test Drive 6,PS,Racing,Atari
2837,Major League Baseball 2K7,X360,Sports,Spike
2838,Kouchuu Ouja Mushi King,GBA,Action,Sega
2839,Persona Q: Shadow of the Labyrinth,3DS,Role-Playing,Nippon Ichi Software
2840,MLB 14: The Show,PS4,Sports,Sony Computer Entertainment America
2841,X-Men: Mutant Academy 2,PS,Fighting,Activision
2842,Kirby: Canvas Curse,DS,Platform,Nintendo
2843,Jampack Winter 2001,PS2,Misc,Sony Computer Entertainment
2844,Kangaroo,2600,Platform,Atari
2845,Madden NFL 10,Wii,Sports,Electronic Arts
2846,MLB 09: The Show,PS3,Sports,Sony Computer Entertainment
2847,Borderlands: The Pre-Sequel,X360,Shooter,Take-Two Interactive
2848,Disney Infinity 3.0,PS4,Action,Disney Interactive Studios
2849,Madden NFL 11,Wii,Sports,Unknown
2850,Super Monkey Ball Jr.,GBA,Puzzle,Atari
2851,The Witcher 3: Wild Hunt,PC,Role-Playing,Namco Bandai Games
2852,F1 2011,X360,Racing,Codemasters
2853,Mobile Suit Gundam: Encounters in Space,PS2,Simulation,Namco Bandai Games
2854,MLB 10: The Show,PS3,Sports,Sony Computer Entertainment
2855,MX vs. ATV Reflex,X360,Racing,THQ
2856,Blur,PS3,Racing,Activision
2857,Avatar: The Game,Wii,Action,Ubisoft
2858,Fear Effect,PS,Action,Eidos Interactive
2859,Battlefield: Bad Company 2,PC,Shooter,Electronic Arts
2860,DiRT 3,X360,Racing,Codemasters
2861,The Lord of the Rings: The Two Towers,XB,Action,Electronic Arts
2862,Madden NFL 2003,XB,Sports,Electronic Arts
2863,Skate,X360,Sports,Electronic Arts
2864,iCarly,DS,Adventure,Activision
2865,XCOM: Enemy Unknown,PC,Strategy,Take-Two Interactive
2866,Ben 10: Protector of Earth,PSP,Action,D3Publisher
2867,Virtua Fighter 4: Evolution,PS2,Fighting,Sega
2868,Crysis,PC,Shooter,Electronic Arts
2869,Resident Evil: Survivor,PS,Action,Eidos Interactive
2870,The Sims 2: Castaway,DS,Simulation,Electronic Arts
2871,Super Trucks Racing,PS2,Racing,Jester Interactive
2872,Godzilla: Destroy All Monsters Melee,GC,Fighting,Atari
2873,Jeremy McGrath Supercross 2000,PS,Racing,Acclaim Entertainment
2874,Conker: Live And Reloaded,XB,Adventure,Microsoft Game Studios
2875,Silent Hill 3,PS2,Action,Konami Digital Entertainment
2876,Yu-Gi-Oh! The Falsebound Kingdom,GC,Strategy,Konami Digital Entertainment
2877,Spyro: Enter the Dragonfly,GC,Platform,Universal Interactive
2878,Scooby-Doo 2: Monsters Unleashed,GBA,Action,THQ
2879,Power Rangers: Dino Thunder,PS2,Action,THQ
2880,Madden NFL 08,PSP,Sports,Electronic Arts
2881,Blast Corps,N64,Action,Nintendo
2882,LEGO Racers,N64,Racing,LEGO Media
2883,WWF Attitude,N64,Fighting,Acclaim Entertainment
2884,Tactics Ogre: Let Us Cling Together,SNES,Role-Playing,Quest
2885,Madden NFL 09,PSP,Sports,Electronic Arts
2886,"WarioWare, Inc.: Mega Party Game$",GC,Puzzle,Nintendo
2887,NBA Live 09,X360,Sports,Electronic Arts
2888,Battle Arena Toshinden 2,PS,Fighting,Sony Computer Entertainment
2889,Dragon Ball: Xenoverse 2,PS4,Action,Namco Bandai Games
2890,Dynasty Warriors 6,PS3,Action,Tecmo Koei
2891,Jeopardy!,PS,Misc,Hasbro Interactive
2892,South Park,PS,Shooter,Acclaim Entertainment
2893,NCAA Football 09,X360,Sports,Electronic Arts
2894,Doom 3: Resurrection of Evil,XB,Shooter,Activision
2895,SSX,X360,Sports,Electronic Arts
2896,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,Role-Playing,Square Enix
2897,Two Worlds,X360,Role-Playing,SouthPeak Games
2898,Tony Hawk's Underground,GC,Sports,Activision
2899,Spider-Man 2,PSP,Action,Activision
2900,Super Bomberman 3,SNES,Puzzle,Hudson Soft
2901,NCAA Football 08,X360,Sports,Electronic Arts
2902,Command & Conquer: Red Alert Retaliation,PS,Strategy,Virgin Interactive
2903,Skylanders: Trap Team,WiiU,Action,Activision
2904,Star Wars: Obi-Wan,XB,Action,Activision
2905,Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom
2906,Kill.Switch,PS2,Shooter,Sony Computer Entertainment
2907,Catherine,PS3,Adventure,Deep Silver
2908,Madden NFL 2005,GC,Sports,Electronic Arts
2909,F-14 Tomcat,GBA,Action,Majesco Entertainment
2910,SplashDown,PS2,Racing,Atari
2911,NCAA Football 98,PS,Sports,Electronic Arts
2912,Jade Empire,XB,Role-Playing,Microsoft Game Studios
2913,Infinite Undiscovery,X360,Role-Playing,Square Enix
2914,FIFA Soccer 11,DS,Sports,Electronic Arts
2915,Chocobo's Dungeon 2,PS,Role-Playing,SquareSoft
2916,Call of Duty: Ghosts,PC,Shooter,Activision
2917,Lego Star Wars: The Force Awakens,PS4,Action,Warner Bros. Interactive Entertainment
2918,NHL 12,X360,Sports,Electronic Arts
2919,Advance Wars,GBA,Strategy,Nintendo
2920,NASCAR 2001,PS2,Racing,Electronic Arts
2921,NCAA Football 2001,PS,Sports,Electronic Arts
2922,WWE SmackDown vs. Raw 2011,PSP,Fighting,THQ
2923,Mafia,PS2,Action,Illusion Softworks
2924,Hannah Montana: The Movie,DS,Adventure,Disney Interactive Studios
2925,Ape Escape: On the Loose,PSP,Platform,Sony Computer Entertainment
2926,Mobile Suit Gundam: Journey to Jaburo,PS2,Simulation,Namco Bandai Games
2927,MLB 08: The Show,PS3,Sports,Sony Computer Entertainment
2928,TimeSplitters 2,PS2,Shooter,Eidos Interactive
2929,Omerta: City of Gangsters,X360,Simulation,Konami Digital Entertainment
2930,Driver: San Francisco,X360,Racing,Ubisoft
2931,Classic NES Series: Zelda II: The Adventure of Link,GBA,Adventure,Nintendo
2932,Fire Emblem: Monsh? no Nazo,SNES,Role-Playing,Nintendo
2933,Disney's Chicken Little,GBA,Platform,Disney Interactive Studios
2934,James Bond 007: Blood Stone,PS3,Shooter,Activision
2935,King Kong,2600,Action,Tigervision
2936,Minecraft: Story Mode,PS4,Adventure,Mojang
2937,Moto Racer 2,PS,Racing,Electronic Arts
2938,Metal Gear Solid: Portable Ops Plus,PSP,Action,Konami Digital Entertainment
2939,LEGO Rock Band,Wii,Misc,Warner Bros. Interactive Entertainment
2940,Monster Hunter Tri,WiiU,Role-Playing,Nintendo
2941,Halo 2 Multiplayer Map Pack,XB,Shooter,Microsoft Game Studios
2942,Mortal Kombat: Shaolin Monks,PS2,Action,Midway Games
2943,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS3,Shooter,Activision
2944,Minecraft: Story Mode,PS3,Adventure,Mojang
2945,FIFA Soccer 13,Wii,Action,Electronic Arts
2946,The LEGO Movie Videogame,3DS,Action,Warner Bros. Interactive Entertainment
2947,MotionSports,X360,Sports,Ubisoft
2948,MX vs. ATV Unleashed: On the Edge,PSP,Racing,THQ
2949,Mario Pinball Land,GBA,Misc,Nintendo
2950,Mappy,NES,Platform,Namco Bandai Games
2951,J-League Soccer: Prime Goal,SNES,Sports,Namco Bandai Games
2952,Dragon Ball Z: Budokai,GC,Fighting,Atari
2953,NFL Xtreme,PS,Sports,Sony Computer Entertainment
2954,Need for Speed (2015),XOne,Racing,Electronic Arts
2955,Plants vs. Zombies: Garden Warfare,XOne,Shooter,Electronic Arts
2956,Need for Speed Rivals,XOne,Racing,Electronic Arts
2957,The Sims 2: Apartment Pets,DS,Simulation,Electronic Arts
2958,Harry Potter and the Chamber of Secrets,GC,Action,Electronic Arts
2959,Prince of Persia: The Forgotten Sands,PS3,Action,Ubisoft
2960,X-Men Origins: Wolverine - Uncaged Edition,X360,Action,Activision
2961,The Lord of the Rings: The Return of the King,GC,Action,Electronic Arts
2962,The Sims: Medieval,PC,Simulation,Electronic Arts
2963,LEGO Batman 2: DC Super Heroes,DS,Action,Warner Bros. Interactive Entertainment
2964,Top Spin 4,PS3,Sports,Take-Two Interactive
2965,Shrek the Third,X360,Action,Activision
2966,Baldur's Gate: Dark Alliance II,PS2,Role-Playing,Interplay
2967,Shark Tale,GBA,Action,Activision
2968,IL-2 Sturmovik: Birds of Prey,PS3,Simulation,505 Games
2969,Test Drive Unlimited 2,X360,Racing,Atari
2970,Star Wars: Masters of Teras Kasi,PS,Action,LucasArts
2971,World of Zoo,DS,Simulation,THQ
2972,NBA Street Vol. 2,XB,Sports,Electronic Arts
2973,Minecraft,WiiU,Misc,Microsoft Game Studios
2974,MX vs. ATV Untamed,X360,Racing,THQ
2975,The Last Remnant,X360,Role-Playing,Square Enix
2976,NCAA Football 2005,XB,Sports,Electronic Arts
2977,Mortal Kombat Mythologies: Sub-Zero,PS,Fighting,GT Interactive
2978,The Sly Collection,PS3,Platform,Sony Computer Entertainment
2979,Naruto: Clash of Ninja,GC,Fighting,Tomy Corporation
2980,Sniper Elite 3,PS4,Shooter,505 Games
2981,Prince of Persia: The Two Thrones,PS2,Action,Ubisoft
2982,Hot Shots Golf: Open Tee 2,PSP,Sports,Sony Computer Entertainment
2983,Mercenaries: Playground of Destruction,XB,Action,LucasArts
2984,Bushido Blade 2,PS,Fighting,SquareSoft
2985,Suikoden II,PS,Role-Playing,Konami Digital Entertainment
2986,Iron Man,PS3,Action,Sega
2987,FIFA Soccer 06,XB,Sports,Electronic Arts
2988,Fight Night 2004,XB,Fighting,Electronic Arts
2989,Tourist Trophy: The Real Riding Simulator,PS2,Racing,Sony Computer Entertainment
2990,.hack//Mutation Part 2,PS2,Role-Playing,Atari
2991,Wolfenstein: The New Order,XOne,Shooter,Bethesda Softworks
2992,Cars: Mater-National Championship,DS,Racing,THQ
2993,LEGO Harry Potter: Years 1-4,PSP,Action,Warner Bros. Interactive Entertainment
2994,Midway Arcade Treasures 2,PS2,Misc,Midway Games
2995,Kirby's Dream Collection: Special Edition,Wii,Action,Nintendo
2996,Return to Castle Wolfenstein: Tides of War,XB,Shooter,Activision
2997,RIFT,PC,Role-Playing,Unknown
2998,Spider-Man 3,PS3,Platform,Activision
2999,Street Sk8er,PS,Sports,Electronic Arts
3000,Mass Effect,PC,Role-Playing,Electronic Arts
3001,Contra: Legacy of War,PS,Shooter,Konami Digital Entertainment
3002,Fight Night Round 2004,XB,Fighting,Electronic Arts
3003,Book of Spells,PS3,Action,Sony Computer Entertainment
3004,Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,DS,Misc,Rocket Company
3005,Spice World,PS,Action,Sony Computer Entertainment
3006,The Evil Within,XOne,Action,Bethesda Softworks
3007,Armored Core 3,PS2,Simulation,Metro 3D
3008,Star Wars: Republic Commando,XB,Shooter,Activision
3009,Taiko no Tatsujin Wii,Wii,Misc,Namco Bandai Games
3010,London 2012: The Official Video Game of the Olympic Games,PS3,Sports,Sega
3011,The LEGO Movie Videogame,PS4,Action,Warner Bros. Interactive Entertainment
3012,Turok,PS3,Action,Touchstone
3013,Wild ARMs 2,PS,Role-Playing,Sony Computer Entertainment
3014,Terraria,X360,Action,505 Games
3015,Red Steel,Wii,Shooter,Ubisoft
3016,Summer Sports: Paradise Island (Others sales),Wii,Sports,Ubisoft
3017,Need for Speed: Shift 2 Unleashed,PS3,Racing,Electronic Arts
3018,The Fairly Odd Parents: Breakin Da Rules,PS2,Platform,THQ
3019,Virtua Tennis: World Tour (US & Others sales),PSP,Sports,Sega
3020,Unreal Tournament III,PS3,Shooter,Midway Games
3021,Adventures of Tron,2600,Action,Mattel Interactive
3022,Fossil Fighters: Champions,DS,Role-Playing,Nintendo
3023,The Sims 3,DS,Simulation,Electronic Arts
3024,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,Action,Disney Interactive Studios
3025,Disney Tangled,Wii,Action,Disney Interactive Studios
3026,Command & Conquer: Red Alert 3,PC,Strategy,Electronic Arts
3027,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,DS,Misc,IE Institute
3028,Pro Pinball: Big Race USA,PS,Simulation,Take-Two Interactive
3029,NFL Street,XB,Sports,Electronic Arts
3030,Final Fantasy Crystal Chronicles: Ring of Fates,DS,Role-Playing,Square Enix
3031,Bakugan: Battle Brawlers,Wii,Action,Activision
3032,Blazing Angels: Squadrons of WWII,PS3,Simulation,Ubisoft
3033,WWE SmackDown vs. RAW 2007,PSP,Fighting,THQ
3034,Skylanders: Trap Team,PS3,Action,Activision
3035,F1 2015,PS4,Racing,Codemasters
3036,Tony Hawk's Proving Ground,PS2,Sports,Activision
3037,The Darkness,PS3,Shooter,Take-Two Interactive
3038,Country Dance,Wii,Misc,Funbox Media
3039,MLB 2004,PS2,Sports,Sony Computer Entertainment
3040,Naruto Shippuden: Ultimate Ninja 4,PS2,Fighting,Atari
3041,The Sims 3: High-End Loft Stuff,PC,Simulation,Electronic Arts
3042,Tiger Woods PGA Tour 2000,PS,Sports,Electronic Arts
3043,Darkstone,PS,Role-Playing,Electronic Arts
3044,NCAA March Madness 2003,PS2,Sports,Electronic Arts
3045,Diablo III,XOne,Role-Playing,Activision
3046,Finding Nemo,XB,Action,THQ
3047,Thrillville,PS2,Strategy,Atari
3048,Lalaloopsy,DS,Simulation,Activision
3049,Jikkyou World Soccer 2000 Final Edition,PS2,Sports,Konami Digital Entertainment
3050,Madagascar,GC,Platform,Activision
3051,Castlevania: Lords of Shadow,X360,Action,Konami Digital Entertainment
3052,Hidden Objects: Mystery Stories,DS,Adventure,GSP
3053,NHL 10,X360,Sports,Electronic Arts
3054,100 Classic Books,DS,Misc,Nintendo
3055,Puzzler Brain Games,Wii,Puzzle,Namco Bandai Games
3056,TV Show King Party,Wii,Puzzle,Ubisoft
3057,Dragon Quest Monsters: Caravan Heart,GBA,Role-Playing,Enix Corporation
3058,Strawberry Shortcake: Summertime Adventure,GBA,Adventure,Majesco Entertainment
3059,Street Fighter Anniversary Collection,PS2,Fighting,Capcom
3060,Legend of Legaia,PS,Role-Playing,Sony Computer Entertainment
3061,NHL 13,X360,Sports,Electronic Arts
3062,Napoleon: Total War,PC,Strategy,Sega
3063,Metro: Last Light,PS4,Action,Deep Silver
3064,Madden NFL 10,PSP,Sports,Electronic Arts
3065,Rayman Legends,WiiU,Platform,Ubisoft
3066,The Sims: Bustin' Out,GC,Simulation,Electronic Arts
3067,BioShock Infinite,PC,Shooter,Take-Two Interactive
3068,Keystone Kapers,2600,Action,Activision
3069,Ratatouille,PSP,Action,THQ
3070,Lollipop Chainsaw,PS3,Action,Warner Bros. Interactive Entertainment
3071,Tom Clancy's EndWar,PS3,Strategy,Ubisoft
3072,Shrek: Hassle at the Castle,GBA,Action,TDK Mediactive
3073,Suikoden IV,PS2,Role-Playing,Konami Digital Entertainment
3074,Gods Eater Burst,PSP,Action,Namco Bandai Games
3075,Fist of the North Star: Ken's Rage,PS3,Action,Ubisoft Annecy
3076,Plants vs. Zombies: Garden Warfare,PS3,Shooter,Electronic Arts
3077,Disney's Kim Possible 2: Drakken's Demise,GBA,Platform,Disney Interactive Studios
3078,One Piece: Pirate Warriors 2,PS3,Action,Namco Bandai Games
3079,Um Jammer Lammy,PS,Misc,Sony Computer Entertainment
3080,Brothers In Arms: Road to Hill 30,XB,Shooter,Ubisoft
3081,LEGO Harry Potter: Years 5-7,DS,Action,Warner Bros. Interactive Entertainment
3082,Taiko no Tatsujin DS: Touch de Dokodon!,DS,Misc,Namco Bandai Games
3083,Animaniacs Ten Pin Alley,PS,Sports,ASC Games
3084,LEGO Jurassic World,XOne,Action,Warner Bros. Interactive Entertainment
3085,Kung Fu Panda,PS2,Action,Activision
3086,Freedom Wars,PSV,Role-Playing,Sony Computer Entertainment
3087,Rocksmith 2014,PC,Misc,Ubisoft
3088,Club Penguin: Elite Penguin Force - Herbert's Revenge,DS,Adventure,Disney Interactive Studios
3089,Ratchet & Clank: Into the Nexus,PS3,Shooter,Sony Computer Entertainment
3090,Shaun White Snowboarding,PS3,Sports,Ubisoft
3091,Radiata Stories,PS2,Role-Playing,Square Enix
3092,The Biggest Loser: Challenge,Wii,Sports,THQ
3093,Peppa Pig: Fun and Games,DS,Misc,Ubisoft
3094,F-Zero GX,GC,Racing,Nintendo
3095,Disney's Chicken Little,PS2,Platform,Disney Interactive Studios
3096,Scene It? Box Office Smash,X360,Misc,Microsoft Game Studios
3097,Yoshi Topsy-Turvy,GBA,Platform,Nintendo
3098,Monster Jam: Maximum Destruction,PS2,Racing,Ubisoft
3099,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,GBA,Misc,THQ
3100,Tiger Woods PGA Tour 09,PS3,Sports,Electronic Arts
3101,World of Dragon Warrior - Torneko: The Last Hope,PS,Role-Playing,Enix Corporation
3102,Mortal Kombat,PSV,Fighting,Warner Bros. Interactive Entertainment
3103,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,Action,Activision
3104,Tiger Woods PGA Tour 09,X360,Sports,Electronic Arts
3105,Advance Wars 2: Black Hole Rising,GBA,Strategy,Nintendo
3106,Wario: Master of Disguise,DS,Platform,Nintendo
3107,Centipede,PS,Shooter,Atari
3108,The Last Story,Wii,Role-Playing,Nintendo
